"STID","Seq","RandQuarter","Year","Treatment","RandDate","AgeEnroll","Gender","PhysicalStatus","Language","ZIP","Race","ChildrenInHome","MaritalStatus","KLSexpunge","timeToExpunge","expunge","Recid","total_benefits","total_wages","total_income","Unemployed","local_unemploy","address_change","late_payments","FilingStatus","Dependents","FedAdjGrossIncome","courtRecid","Part","white","Female","Disabled","logIncome","Married","dependent","eYear","pe_wageAvg2","pe_wageAvg1","pe_wageAvgFull","pe_incomeAvg2","pe_incomeAvg1","pe_incomeAvgFull","pe_wageAvg","pe_incomeAvg","wageRatio","incomeRatio","end_date","add_rec","pstudy_employed","LessHighSchool","HighSchool","SomeCollege","College","income_lag","unemploy_lag"
"KSSTID0001",-8,"2019Q3",2017,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,7976.61,7976.61,0,3.644444444,0,0,0,1,"58,978.00",NA,1,1,1,0,8.98439414683828,0,1,-2,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,0.903754682678307,0.903754682678307,2021-08-30,0,1,0,0,0,1,NA,NA
"KSSTID0001",-7,"2019Q3",2017,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,4965.39,4965.39,0,2.833333333,0,0,0,1,"58,978.00",NA,1,1,1,0,8.51044849701589,0,1,-2,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,0.562581656095013,0.562581656095013,2021-08-30,0,1,0,0,0,1,8.98439414683828,0
"KSSTID0001",-6,"2019Q3",2018,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,4798.89,4798.89,0,3.333333333,0,0,0,2,"34,740.00",NA,1,1,1,0,8.47634827996673,0,1,-2,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,0.543717106534994,0.543717106534994,2021-08-30,0,1,0,0,0,1,8.51044849701589,0
"KSSTID0001",-5,"2019Q3",2018,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,8940.29,8940.29,0,3.2,0,0,0,2,"34,740.00",NA,1,1,1,0,9.09843515306001,0,1,-2,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.01294020291854,1.01294020291854,2021-08-30,0,1,0,0,0,1,8.47634827996673,0
"KSSTID0001",-4,"2019Q3",2018,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,9663.57,9663.57,0,3.3,1,0,0,2,"34,740.00",NA,1,1,1,0,9.17622190022332,0,1,-1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.09488825940965,1.09488825940965,2021-08-30,0,1,0,0,0,1,9.09843515306001,0
"KSSTID0001",-3,"2019Q3",2018,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,11461.83,11461.83,0,2.822222222,0,0,0,2,"34,740.00",NA,1,1,1,0,9.34686490568139,0,1,-1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.29863219269373,1.29863219269373,2021-08-30,0,1,0,0,0,1,9.17622190022332,0
"KSSTID0001",-2,"2019Q3",2019,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,10556.53,10556.53,0,3.533333333,0,0,0,3,"39,923.00",NA,1,1,1,0,9.26459462838588,0,1,-1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.19606116136229,1.19606116136229,2021-08-30,0,1,0,0,0,1,9.34686490568139,0
"KSSTID0001",-1,"2019Q3",2019,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,12245.52,12245.52,0,2.955555556,0,0,0,3,"39,923.00",NA,1,1,1,0,9.41299709398139,0,1,-1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.38742473830748,1.38742473830748,2021-08-30,0,1,0,0,0,1,9.26459462838588,0
"KSSTID0001",0,"2019Q3",2019,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,9180.94,9180.94,0,3.255555556,0,0,0,3,"39,923.00",NA,1,1,1,0,9.12499379026375,0,1,1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.04020599181715,1.04020599181715,2021-08-30,0,1,0,0,0,1,9.41299709398139,0
"KSSTID0001",1,"2019Q3",2019,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,0,0,0,10656.47,10656.47,0,2.566666667,0,0,0,3,"39,923.00",NA,1,1,1,0,9.27401633371633,0,1,1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.20738442312222,1.20738442312222,2021-08-30,0,1,0,0,0,1,9.12499379026375,0
"KSSTID0001",2,"2019Q3",2020,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,1,0,0,8994.26,8994.26,0,3.177777778,0,0,0,4,"37,419.00",NA,1,1,1,0,9.10445305091409,0,1,1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,1.01905503619034,1.01905503619034,2021-08-30,0,1,0,0,0,1,9.27401633371633,0
"KSSTID0001",3,"2019Q3",2020,1,"2019-08-30",38,"Female","None","English","66502","White",2,"Divorced",1,199,1,0,0,6189.36,6189.36,0,7.455555556,0,0,0,4,"37,419.00",NA,1,1,1,0,8.73074852230738,0,1,1,6670.295,10981.8625,8826.07875,6670.295,10981.8625,8826.07875,8826.07875,8826.07875,0.701258188977749,0.701258188977749,2021-08-30,0,1,0,0,0,1,9.10445305091409,0
