"RandDate","Treatment","KLSSuccess","cenKLSSuccess","lastCheckDate","timeToExpunge","cenExpungeTime"
"2021-11-10",1,"yes","yes","2023-01-17",433,433
"2021-09-08",1,"yes","yes","2023-01-17",496,496
"2020-06-17",1,"yes","yes","2020-09-17",92,92
"2022-03-17",0,"yes","yes","2023-01-17",306,306
"2021-05-12",0,"no","no","2024-01-31",994,730
"2020-01-02",1,"yes","yes","2020-05-25",144,144
"2019-12-02",1,"yes","yes","2020-08-06",248,248
"2020-08-17",0,"no","no","2024-03-25",1316,730
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2019-10-23",1,"yes","no","2024-07-15",1727,730
"2021-08-25",0,"no","no","2024-01-31",889,730
"2020-12-22",0,"yes","no","2024-08-01",1318,730
"2022-03-17",1,"yes","yes","2022-07-22",127,127
"2020-04-27",1,"yes","yes","2021-03-11",318,318
"2020-09-11",1,"yes","yes","2021-09-30",384,384
"2022-04-26",0,"yes","yes","2024-01-31",645,645
"2022-02-10",0,"no","no","2024-08-07",909,730
"2020-08-25",0,"no","no","2024-01-31",1254,730
"2020-10-26",0,"no","no","2024-01-31",1192,730
"2020-02-12",1,"yes","yes","2020-08-06",176,176
"2021-09-08",1,"no","no","2024-08-05",1062,730
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2021-01-21",1,"yes","yes","2021-09-30",252,252
"2020-09-11",0,"no","no","2024-01-31",1237,730
"2019-11-27",1,"yes","yes","2020-08-06",253,253
"2020-09-23",1,"yes","yes","2021-09-30",372,372
"2022-03-17",0,"yes","yes","2024-01-31",685,685
"2020-06-17",0,"yes","no","2024-07-30",1504,730
"2020-09-23",0,"yes","no","2024-01-31",1225,730
"2020-03-04",1,"yes","yes","2020-08-06",155,155
"2021-12-24",0,"no","no","2024-01-31",768,730
"2020-06-30",1,"no","no","2024-07-29",1490,730
"2020-01-22",0,"no","no","2024-01-31",1470,730
"2022-02-14",1,"yes","yes","2022-07-22",158,158
"2020-08-18",0,"yes","no","2024-01-31",1261,730
"2021-05-12",0,"no","no","2024-01-31",994,730
"2020-08-20",1,"yes","yes","2021-03-11",203,203
"2020-03-13",0,"partial","no","2024-07-30",1600,730
"2021-05-25",0,"yes","no","2024-08-01",1164,730
"2020-02-20",1,"yes","yes","2020-05-25",95,95
"2020-04-28",0,"yes","no","2024-01-31",1373,730
"2022-04-27",1,"yes","yes","2022-07-22",86,86
"2022-02-24",1,"yes","yes","2024-01-31",706,706
"2021-11-03",1,"yes","yes","2022-03-31",148,148
"2020-05-04",1,"yes","yes","2020-09-01",120,120
