"STID","Seq","Part.Seq","Group","ID","Treatment","Quarter","Year","Distribution","AgeEnroll","AgeSurvey","Gender","PhysicalStatus","Language","ZIP","Race","ChildrenInHome","MaritalStatus","KLSDetermination","timeToExpunge","cenExpungeTime","expunge","Recid","total_benefits","total_wages","total_income","Unemployed","local_unemploy","address_change","late_payments","AQuarter","AQID2","AQID3","AQID4","AQID5","AQID11","AQID12","AQID13","BQuarter","BQID1","BQID2","BQID3","BQID4","BQID5","BQID6","BQID7","BQID8","CQuarter","CQID1","CQID2","CQID3","CQID4","CQID5","CQID6","DQuarter","DQID1","DQID2","DQID3","DQID4","DQID5","DQID6","DQID7","DQID8","EQuarter","EQID1","EQID2","EQID3","EQID4","EQID5","EQID6","pstudy_income","pstudy_wages","pstudy_benefits","pstudy_unemploy","FilingStatus","Dependents","FedAdjGrossIncome","Part","white","Female","Disabled","logIncome","pstudy_logIncome","MissedRent","FullTime","HouseSize","JobSat","JobApply","JobDeter","Homeless","Moved","MovedUtility","HouseSat","MoveAttempt","MoveDeter","LifeSat","Married","dependent","pstudy_employed","LessHighSchool","HighSchool","SomeCollege","College","income_lag","unemploy_lag","fullTime_lag","LifeComp","ps_mRent","ps_fullTime","ps_jobApply","ps_jobDeter","ps_moved","ps_moveAttempt","ps_moveDeter"
"KSSTID0001",1,"1001-1",1,1001,1,"2019Q4",2019,1,38,38,"Female","None","English","66502","White",2,"Divorced","yes",199,199,0,0,0,10656.47,10656.47,0,2.566666667,0,0,"2019Q3",2,1,0,2,2,1,3,"2019Q4",1,3,3,1,NA,NA,1,1,"2019Q4",2,"2",5,2,2,2,"2019Q4",1,1,6,6,5,"2",2,3,"2020Q1",8,8,9,8,10,1,8826.08,8826.08,0,3.68,0,3,"39,923.00",1,1,1,0,9.27401633371633,9.08557954808101,0,1,4,3,0,0,0,1,1,3,0,0,8,0,1,1,0,0,0,1,9.08557954808101,0,1,-0.452643287752376,0,1,0,0,1,0,0
"KSSTID0001",2,"1001-2",1,1001,1,"2020Q1",2020,2,38,38,"Female","None","English","66502","White",2,"Divorced","yes",199,199,1,0,0,8994.26,8994.26,0,3.177777778,0,0,"2020Q1",2,2,2,2,1,2,2,"2020Q1",1,4,3,1,NA,NA,1,1,"2020Q1",2,"2",5,2,2,2,"2020Q2",1,1,6,6,5,"1",2,3,"2020Q2",8,7,9,9,7,6,8826.08,8826.08,0,3.68,0,4,"37,419.00",1,1,1,0,9.10445305091409,9.08557954808101,0,1,5,3,0,0,0,1,1,2,0,0,7,0,1,1,0,0,0,1,9.27401633371633,0,1,-1.07791197073773,0,1,0,0,1,0,0
"KSSTID0001",3,"1001-3",1,1001,1,"2020Q3",2020,3,38,39,"Female","None","English","66502","White",2,"Divorced","yes",199,199,1,0,0,10416.13,10416.13,0,5.533333333,1,0,"2020Q2",2,2,2,2,1,2,3,"2020Q2",2,4,3,1,2,4,0,0,"2020Q3",2,"2",4,2,2,2,"2020Q3",1,1,6,6,4,"0",2,3,"2020Q3",5,7,7,8,5,1,8826.08,8826.08,0,3.68,0,4,"37,419.00",1,1,1,0,9.25120684550723,9.08557954808101,0,1,5,3,0,0,0,1,1,3,0,0,7,0,1,1,0,0,0,1,9.10445305091409,0,1,0.500360425269252,0,1,0,0,1,0,0
"KSSTID0001",4,"1001-4",1,1001,1,"2020Q4",2020,4,38,39,"Female","None","English","66502","White",2,"Divorced","yes",199,199,1,0,0,10699.68,10699.68,0,3.7,0,0,"2020Q3",2,1,1,2,2,2,3,"2020Q3",1,2,3,1,2,4,0,0,"2020Q4",2,"2",2,2,2,2,"2020Q4",1,1,6,6,4,"2",2,3,"2020Q4",6,8,5,10,4,1,8826.08,8826.08,0,3.68,0,4,"37,419.00",1,1,1,0,9.27806256983256,9.08557954808101,1,1,3,3,0,0,0,1,1,3,0,0,8,0,1,1,0,0,0,1,9.25120684550723,0,1,0.112951799952931,0,1,0,0,1,0,0
"KSSTID0001",5,"1001-5",1,1001,1,"2021Q1",2021,5,38,39,"Female","None","English","66502","White",2,"Divorced","yes",199,199,1,0,0,10899.15,10899.15,0,3.511111111,0,0,"2020Q4",2,1,1,2,3,2,2,"2021Q1",1,2,4,0,2,4,0,0,"2021Q1",2,"2",4,2,2,1,"2021Q1",1,1,6,6,4,"0",2,3,"2021Q1",5,5,5,10,5,1,8826.08,8826.08,0,3.68,0,1,"46,512.00",1,1,1,0,9.29653182959044,9.08557954808101,1,1,3,3,0,0,0,0,0,2,0,0,5,0,1,1,0,0,0,1,9.27806256983256,0,1,0.883381281603878,0,1,0,0,1,0,0
"KSSTID0001",6,"1001-6",1,1001,1,"2021Q2",2021,6,38,40,"Female","None","English","66502","White",2,"Divorced","yes",199,199,1,0,0,18489.2,18489.2,0,3.344444444,0,0,"2021Q1",2,1,0,2,3,1,3,"2021Q2",1,2,3,0,2,4,0,0,"2021Q2",2,"2",2,2,2,2,"2021Q2",1,1,6,6,4,"0",2,4,"2021Q2",6,6,9,6,11,6,8826.08,8826.08,0,3.68,0,1,"46,512.00",1,1,1,0,9.82499614098032,9.08557954808101,0,1,3,4,0,0,0,0,0,3,0,0,6,0,1,1,0,0,0,1,9.29653182959044,0,1,0.0899611093982997,0,1,0,0,1,0,0
"KSSTID0002",1,"1003-1",3,1003,0,"2020Q1",2020,1,45,45,"Female","None","English","67401","White",2,"Married","yes",264,264,0,0,0,20130.11,20130.11,0,2.983333333,0,0,"2019Q4",2,2,2,2,1,2,4,"2019Q4",1,4,4,1,NA,NA,1,1,"2020Q1",1,"1",5,2,2,4,"2020Q1",1,1,6,6,5,"2",2,2,"2020Q1",10,5,11,7,10,1,16845.7,16845.7,0,3.07,1,2,"139,623.00",2,1,1,0,9.91002165869333,9.73191007090291,0,1,5,2,1,1,0,1,1,4,0,0,5,1,1,1,0,0,0,1,9.73191007090291,0,1,-0.475576607223456,0,1,1,1,1,0,0
"KSSTID0002",2,"1003-2",3,1003,0,"2020Q2",2020,2,45,45,"Female","None","English","67401","White",2,"Married","yes",264,264,1,0,0,18511.62,18511.62,0,6.433333333,0,0,"2020Q1",2,2,2,2,1,2,4,"2020Q2",1,5,5,1,NA,NA,1,1,"2020Q2",1,"1",1,2,2,3,"2020Q2",1,1,6,6,4,"1",2,3,"2020Q2",9,8,9,9,9,1,16845.7,16845.7,0,3.07,1,2,"139,623.00",2,1,1,0,9.82620794066173,9.73191007090291,0,1,6,3,1,1,0,1,1,4,0,0,8,1,1,1,0,0,0,1,9.91002165869333,0,1,-0.836340220521661,0,1,1,1,1,0,0
"KSSTID0002",3,"1003-3",3,1003,0,"2020Q3",2020,3,45,46,"Female","None","English","67401","White",2,"Married","yes",264,264,1,0,0,20805.29,20805.29,0,4.483333333,0,0,"2020Q3",2,1,0,2,1,2,4,"2020Q3",1,3,5,0,2,4,0,0,"2020Q3",2,"2",1,2,2,3,"2020Q3",1,1,6,6,4,"2",2,2,"2020Q3",9,10,10,1,9,1,16845.7,16845.7,0,3.07,1,2,"139,623.00",2,1,1,0,9.94301062382074,9.73191007090291,0,1,4,2,0,0,0,0,0,4,0,0,10,1,1,1,0,0,0,1,9.82620794066173,0,1,-0.0999675518373241,0,1,1,1,1,0,0
"KSSTID0002",4,"1003-4",3,1003,0,"2020Q4",2020,4,45,46,"Female","None","English","67401","White",2,"Married","yes",264,264,1,0,0,27424.72,27424.72,0,3.15,0,0,"2020Q4",2,1,0,2,1,2,4,"2020Q4",1,4,5,0,2,4,0,0,"2020Q4",2,"2",5,2,2,1,"2020Q4",5,5,6,6,4,"1",2,3,"2021Q1",10,10,10,1,10,1,16845.7,16845.7,0,3.07,1,2,"139,623.00",2,1,1,0,10.2192365382172,9.73191007090291,0,0,5,3,0,0,0,0,0,4,0,0,10,1,1,1,0,0,0,1,9.94301062382074,0,1,-0.264935816960314,0,1,1,1,1,0,0
