Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.096364968,.031587649,.002282958,.034454316,.15827562
0,2,.23097548,.055019278,.000026918422,.12313968,.33881128
0,3,.26768693,.062610783,.000019078359,.14497206,.39040181
0,4,.32542709,.072003722,6.1960454e-06,.18430237,.46655178
0,5,.33348149,.07568828,.000010530389,.18513519,.4818278
1,1,.10180432,.032399721,.0016772021,.038302038,.16530661
1,2,.23309356,.054772072,.000020839501,.12574227,.34044483
1,3,.26473445,.061137073,.000014898837,.144908,.38456091
1,4,.30492443,.0656102,3.3595718e-06,.17633079,.43351805
1,5,.34140047,.077066608,9.4259149e-06,.19035269,.49244824
