Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.79267722,.037527643,0,.71912438,.86623001
0,2,.79857308,.03772603,0,.72463143,.87251478
0,3,.80479884,.041011345,0,.7244181,.88517964
0,4,.78535604,.044566426,0,.69800746,.87270463
0,5,.79240471,.042632651,0,.70884627,.87596315
1,1,.80982429,.075531043,8.0474105e-27,.6617862,.95786244
1,2,.82770622,.047018737,0,.73555124,.91986126
1,3,.80305851,.047743093,0,.7094838,.89663327
1,4,.83159626,.044443358,0,.74448889,.91870362
1,5,.84024322,.047436625,0,.74726915,.93321735
