"stid","homeless","treatment","expunge","white","female","age_enroll","total_income","income","ps_income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0001",0,1,1,1,1,38,11692.4816666667,9.3382111284235,8826.08,1,0,0,3.63888888883333,0,1
"KSSTID0002",0,0,1,1,1,45,21789.5466666667,9.98087093973666,16845.7,1,0,0,3.79444444433333,1,1
"KSSTID0003",,1,1,0,0,23,1232.41833333333,6.83001334682631,607.89,1,0,0,7.30555555616667,0,0
"KSSTID0004",0,0,0,1,1,42,7468.28333333333,8.88208614464484,6913.77,1,0,0,7.30555555616667,0,1
"KSSTID0005",0,0,0,1,0,45,4735.02859166667,8.3901153229537,13943.48,0,1,1,7.30555555616667,1,1
"KSSTID0006",0,1,1,1,1,35,5962.29166666667,8.68172914601939,4856.56,1,0,0,2.6037037035,0,1
"KSSTID0007",,1,0,0,1,51,6922.41333333333,8.69107170993355,2734.64,1,0,0,4.38888888883333,0,1
"KSSTID0008",1,0,0,1,0,46,0,0,0,1,1,1,7.30555555616667,1,0
"KSSTID0009",0,1,1,1,1,31,2790.0698,5.50205384394577,2780.36,0,1,1,7.42777777833333,0,1
"KSSTID0010",0,1,0,1,1,40,0,0,0,1,1,1,5.28333333333333,1,1
"KSSTID0011",0,0,0,1,1,29,0,0,0,1,1,1,4.65833333333333,1,1
"KSSTID0012",,0,0,0,0,39,5894.23166666667,8.68078683715456,3587.07,1,0,0,4.9444444445,1,1
"KSSTID0013",,0,1,1,1,38,1381.35,3.6725429638535,3081.41,1,1,1,4.45,1,1
"KSSTID0014",0,1,1,1,0,26,5363.65007333333,7.97838745353546,5013.37,1,1,1,3.822222222,0,0
"KSSTID0015",0,0,0,1,0,44,0,0,0,1,1,1,3.31666666666667,1,1
"KSSTID0016",,1,1,1,0,28,3428.90666666667,8.10384358636783,2263.27,1,0,0,7.355555556,0,0
"KSSTID0017",0,1,0,1,0,50,16855.9033416667,9.72345667844957,16005.33,1,0,0,5.66666666733333,1,0
"KSSTID0018",,1,1,1,1,44,1586.72833333333,3.646142911201,0,1,1,1,7.11111111166667,1,1
"KSSTID0019",,1,1,1,0,27,282.553333333333,3.82987642107694,181.43,1,1,1,5.14444444433333,0,0
"KSSTID0020",,0,1,1,0,58,9531.15333333333,9.15184540705247,10322.27,1,0,0,7.11111111166667,0,0
"KSSTID0021",,1,0,1,0,53,0,0,0,1,1,1,7.11111111166667,1,0
"KSSTID0022",,1,1,1,0,37,0,0,0,1,1,1,5.26111111116667,0,0
"KSSTID0023",,0,1,1,0,29,4910.20666666667,8.4197649488932,3628.02,1,0,0,5.12222222216667,0,0
"KSSTID0024",0,1,1,1,0,39,20579.495,9.92405521235056,12022.67,1,0,0,4.45555555566667,1,1
"KSSTID0025",0,0,0,1,1,47,12511.8627433333,9.38807947241339,14925.66,1,0,0,5.78888888883333,0,1
"KSSTID0026",0,1,1,1,0,56,0,0,0,1,1,1,5.78888888883333,1,0
"KSSTID0027",,0,0,1,1,33,160,1.14466240149505,0,1,1,1,3.80833333333333,1,1
"KSSTID0028",0,0,0,1,1,26,1338.46,6.08825716947575,506.63,1,1,1,4.45555555566667,0,1
"KSSTID0029",0,1,1,1,1,42,16811.0916666667,9.68182289760194,6970.74,1,0,0,4.3944444445,0,1
"KSSTID0030",0,1,1,0,1,33,9441.49833333333,9.13505448960047,11927.68,1,0,0,7.58333333383333,0,1
"KSSTID0031",0,0,0,1,0,71,0,0,0,1,1,1,5.2555555555,1,0
"KSSTID0032",0,1,1,1,0,56,0,0,0,1,1,1,5.2555555555,0,0
"KSSTID0033",0,0,1,1,1,43,4492.65666666667,8.3758468450699,7142.23,1,0,0,3.71944444433333,0,1
"KSSTID0034",0,0,0,1,0,47,0,0,0,1,1,1,5.0666666665,1,0
"KSSTID0035",0,0,0,1,0,42,20139.4283333333,9.90344420348628,14115.83,1,0,0,7.58333333383333,1,1
"KSSTID0036",1,0,0,0,1,63,0,0,0,1,1,1,5.74444444383333,1,0
"KSSTID0037",0,1,1,0,1,34,9577.75666666667,9.16330629225908,8856.68,1,0,0,7.58333333383333,0,1
"KSSTID0038",,1,1,1,0,29,6488.66833333333,8.74209945891714,3090.33,0,1,1,7.32222222283333,0,1
"KSSTID0039",0,1,1,1,0,24,9741.66333333333,9.13451133462889,6404.05,1,0,0,4.49629629616667,0,0
"KSSTID0041",,1,1,1,0,57,5415.625,5.99923120689076,849.26,1,1,1,7.2500000005,1,0
"KSSTID0042",,1,1,1,1,30,8095.10168333333,8.97396021898137,2192.45,1,1,1,5.06666666666667,0,1
"KSSTID0043",0,1,1,1,0,47,0,0,6190.78,0,1,1,6.1574074075,1,1
"KSSTID0044",0,1,1,1,1,46,2223.39333333333,2.93017240977652,6382.93,0,1,1,7.2500000005,1,0
"KSSTID0045",0,0,0,0,1,28,1881.85166166667,4.02826449514828,2181.93,1,1,1,5.06666666666667,0,1
