"stid","seq","house_sat","treatment","expunge","white","female","age_enroll","income","income_lag","house_num","house_size","move_attempt","unemployed","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0001",1,3,1,0,1,1,38,9.27401633371633,9.08557954808101,3,3,0,0,0,1,2.566666667,0,1,2019
"KSSTID0001",2,2,1,1,1,1,38,9.10445305091409,9.27401633371633,4,3,0,0,0,1,3.177777778,0,1,2020
"KSSTID0001",3,3,1,1,1,1,38,9.25120684550723,9.10445305091409,4,3,0,0,0,1,5.533333333,0,1,2020
"KSSTID0001",4,3,1,1,1,1,38,9.27806256983256,9.25120684550723,2,3,0,0,0,1,3.7,0,1,2020
"KSSTID0001",5,2,1,1,1,1,38,9.29653182959044,9.27806256983256,2,4,0,0,0,1,3.511111111,0,1,2021
"KSSTID0001",6,3,1,1,1,1,38,9.82499614098032,9.29653182959044,2,3,0,0,0,1,3.344444444,0,1,2021
"KSSTID0002",1,4,0,0,1,1,45,9.91002165869333,9.73191007090291,4,4,0,0,0,1,2.983333333,1,1,2020
"KSSTID0002",2,4,0,1,1,1,45,9.82620794066173,9.91002165869333,5,5,0,0,0,1,6.433333333,1,1,2020
"KSSTID0002",3,4,0,1,1,1,45,9.94301062382074,9.82620794066173,3,5,0,0,0,1,4.483333333,1,1,2020
"KSSTID0002",4,4,0,1,1,1,45,10.2192365382172,9.94301062382074,4,5,0,0,0,1,3.15,1,1,2020
"KSSTID0002",5,4,0,1,1,1,45,9.92394486743838,10.2192365382172,4,5,0,0,0,1,2.95,1,1,2021
"KSSTID0002",6,4,0,1,1,1,45,10.0628040095886,9.92394486743838,3,5,0,0,0,1,2.766666667,1,1,2021
"KSSTID0003",1,3,1,0,0,0,23,7.51753715481794,6.41163762742169,0,1,0,0,0,1,2.966666667,0,0,2019
"KSSTID0003",2,2,1,0,0,0,23,4.73180283692146,7.51753715481794,0,2,0,0,0,1,14.46666667,0,0,2020
"KSSTID0003",3,3,1,1,0,0,23,7.05800980722993,4.73180283692146,0,1,,0,0,1,9.1,0,0,2020
"KSSTID0003",4,,1,1,0,0,23,7.59229048269352,7.05800980722993,4,4,,0,0,1,6.533333333,0,0,2020
"KSSTID0003",5,,1,1,0,0,23,6.91224518425499,7.59229048269352,1,1,,0,0,1,5.7,0,0,2021
"KSSTID0003",6,,1,1,0,0,23,7.16819461504004,6.91224518425499,0,3,,0,0,1,5.066666667,0,0,2021
"KSSTID0004",1,4,0,0,1,1,42,9.01429020762253,8.84141498251894,2,4,0,0,0,1,2.966666667,0,1,2019
"KSSTID0004",2,4,0,0,1,1,42,9.1675998716333,9.01429020762253,2,3,0,0,0,1,14.46666667,0,1,2020
"KSSTID0004",3,4,0,0,1,1,42,8.89517472916554,9.1675998716333,1,3,0,0,0,1,9.1,0,1,2020
"KSSTID0004",4,4,0,0,1,1,42,9.06641919195161,8.89517472916554,2,4,0,0,0,1,6.533333333,0,1,2020
"KSSTID0004",5,4,0,0,1,1,42,8.87078237930303,9.06641919195161,1,5,0,0,0,1,5.7,0,1,2021
"KSSTID0004",6,4,0,0,1,1,42,8.27825048819305,8.87078237930303,1,3,0,0,0,1,5.066666667,0,1,2021
"KSSTID0005",1,4,0,0,1,0,45,8.65014941866486,9.5428390100153,4,5,0,0,0,0,2.966666667,1,1,2019
"KSSTID0005",2,3,0,0,1,0,45,8.37183707579121,8.65014941866486,4,5,0,1,0,0,14.46666667,1,1,2020
"KSSTID0005",3,3,0,0,1,0,45,7.66924057338869,8.37183707579121,3,5,0,1,1,0,9.1,1,1,2020
"KSSTID0005",4,4,0,0,1,0,45,8.1331604113321,7.66924057338869,3,5,0,1,1,0,6.533333333,1,1,2020
"KSSTID0005",5,4,0,0,1,0,45,8.62681143009356,8.1331604113321,3,5,0,0,1,0,5.7,1,1,2021
"KSSTID0005",6,3,0,0,1,0,45,8.88949302845176,8.62681143009356,3,5,0,0,0,0,5.066666667,1,1,2021
