effect,b,se,pvalue,ll,ul
Expunge1,-.9636245861320063,.9369438189914319,.3037257965238258,-2.800000726892628,.8727515546286155
ES2,.8986622824109944,.8544372342382962,.2929100099097081,-.7760039237460798,2.573328488568069
ES3,.9777086261491965,.8713038767917071,.2618108748294694,-.7300155919526738,2.685432844251067
ES4,.9198447657788549,.8880197853267029,.300277659300897,-.820642031020473,2.660331562578182
ES5,.9550948856299468,.9076372343579641,.2926678825088421,-.8238414047392031,2.734031175999097
ES6,1.102825612739224,.894743730588718,.2177398513769214,-.6508398746076725,2.85649110008612
Sequence2,.2026807830424607,.0814776902909121,.0128622134863667,.0429874445287641,.3623741215561573
Sequence3,-.0598220546817132,.0956122614686656,.5315291429895943,-.2472186436407245,.127574534277298
Sequence4,0,,,,
Sequence5,-.1027033279076719,.0867094904341101,.2362337367535547,-.2726508062763481,.0672441504610042
Sequence6,-.2064440845741147,.0905739212047598,.0226499293450214,-.3839657080740125,-.0289224610742169
