Expungement,Sequence,b,se,pvalue,ll,ul
0,1,3.1465161,.13228934,0,2.8872337,3.4057984
0,2,3.0112181,.13248697,0,2.7515485,3.2708879
0,3,3.1376204,.13671696,0,2.8696601,3.4055808
0,4,3.0657284,.14099985,0,2.7893736,3.342083
0,5,2.9852412,.15110259,0,2.6890855,3.2813969
1,1,3.0580175,.21553481,0,2.635577,3.480458
1,2,3.0458519,.1593608,0,2.7335105,3.3581934
1,3,3.1043754,.15239432,0,2.8056879,3.4030626
1,4,3.0514243,.15995747,0,2.7379134,3.3649352
1,5,3.1370194,.15894049,0,2.8255017,3.4485369
