"stid","seq","income_ratio","treatment","expunge","white","female","age_enroll","unemploy_lag","local_unemploy","ps_employed","married","dependent","year","pe_income_avg"
1,-8,0.903754682678307,1,0,1,1,38,,3.644444444,1,0,1,2017,8826.07875
1,-7,0.562581656095013,1,0,1,1,38,0,2.833333333,1,0,1,2017,8826.07875
1,-6,0.543717106534994,1,0,1,1,38,0,3.333333333,1,0,1,2018,8826.07875
1,-5,1.01294020291854,1,0,1,1,38,0,3.2,1,0,1,2018,8826.07875
1,-4,1.09488825940965,1,0,1,1,38,0,3.3,1,0,1,2018,8826.07875
1,-3,1.29863219269373,1,0,1,1,38,0,2.822222222,1,0,1,2018,8826.07875
1,-2,1.19606116136229,1,0,1,1,38,0,3.533333333,1,0,1,2019,8826.07875
1,-1,1.38742473830748,1,0,1,1,38,0,2.955555556,1,0,1,2019,8826.07875
1,0,1.04020599181715,1,0,1,1,38,0,3.255555556,1,0,1,2019,8826.07875
1,1,1.20738442312222,1,0,1,1,38,0,2.566666667,1,0,1,2019,8826.07875
1,2,1.01905503619034,1,1,1,1,38,0,3.177777778,1,0,1,2020,8826.07875
1,3,0.701258188977749,1,1,1,1,38,0,7.455555556,1,0,1,2020,8826.07875
1,4,1.18015375740897,1,1,1,1,38,0,5.533333333,1,0,1,2020,8826.07875
1,5,1.21228014195998,1,1,1,1,38,0,3.7,1,0,1,2020,8826.07875
1,6,1.23488021223468,1,1,1,1,38,0,3.511111111,1,0,1,2021,8826.07875
1,7,2.09483741576632,1,1,1,1,38,0,3.344444444,1,0,1,2021,8826.07875
2,-8,0.947950445221151,0,0,1,1,45,,3,1,1,1,2017,16845.70125
2,-7,1.19882453691264,0,0,1,1,45,0,2.483333333,1,1,1,2017,16845.70125
2,-6,0.942275406908335,0,0,1,1,45,0,2.983333333,1,1,1,2018,16845.70125
2,-5,1.07939703608361,0,0,1,1,45,0,2.816666667,1,1,1,2018,16845.70125
2,-4,0.858345389450617,0,0,1,1,45,0,2.75,1,1,1,2018,16845.70125
2,-3,1.17731281741685,0,0,1,1,45,0,2.4,1,1,1,2018,16845.70125
2,-2,0.897625440199469,0,0,1,1,45,0,3,1,1,1,2019,16845.70125
2,-1,0.898268927807324,0,0,1,1,45,0,2.666666667,1,1,1,2019,16845.70125
2,0,1.0085166386291,0,0,1,1,45,0,2.866666667,1,1,1,2019,16845.70125
2,1,0.986673677357302,0,0,1,1,45,0,2.316666667,1,1,1,2019,16845.70125
2,2,1.19497014112131,0,0,1,1,45,0,2.983333333,1,1,1,2020,16845.70125
2,3,1.0988928110072,0,1,1,1,45,0,6.433333333,1,1,1,2020,16845.70125
2,4,1.2350503960172,0,1,1,1,45,0,4.483333333,1,1,1,2020,16845.70125
2,5,1.62799515395656,0,1,1,1,45,0,3.15,1,1,1,2020,16845.70125
2,6,1.21172515747897,0,1,1,1,45,0,2.95,1,1,1,2021,16845.70125
2,7,1.39223530394735,0,1,1,1,45,0,2.766666667,1,1,1,2021,16845.70125
3,3,0.185067518799775,1,0,0,0,23,0,14.46666667,1,0,0,2020,607.88625
3,-7,0.307212081207627,1,0,0,0,23,0,3.5,1,0,0,2017,607.88625
3,0,0.303510730831632,1,0,0,0,23,0,3.5,1,0,0,2019,607.88625
3,-4,5.65187977191456,1,0,0,0,23,1,3.666666667,1,0,0,2018,607.88625
3,4,1.91011064981318,1,1,0,0,23,0,9.1,1,0,0,2020,607.88625
3,-1,1.20687052882015,1,0,0,0,23,1,3.233333333,1,0,0,2019,607.88625
3,2,0.909430012605154,1,0,0,0,23,0,3.7,1,0,0,2020,607.88625
3,-3,0.131603568924285,1,0,0,0,23,0,3.133333333,1,0,0,2018,607.88625
3,-8,0.70243404913337,1,0,0,0,23,,4.333333333,1,0,0,2017,607.88625
3,-2,0,1,0,0,0,23,0,3.733333333,1,0,0,2019,607.88625
3,-6,0,1,0,0,0,23,0,4,1,0,0,2018,607.88625
3,5,3.26023166340742,1,1,0,0,23,0,6.533333333,1,0,0,2020,607.88625
3,1,3.02528639198534,1,0,0,0,23,0,2.966666667,1,0,0,2019,607.88625
3,7,2.13280033887919,1,1,0,0,23,0,5.066666667,1,0,0,2021,607.88625
3,6,1.650802267694,1,1,0,0,23,0,5.7,1,0,0,2021,607.88625
3,-5,0,1,0,0,0,23,1,3.566666667,1,0,0,2018,607.88625
4,-8,0.890120408214184,0,0,1,1,42,,4.333333333,,0,1,2017,6913.7725
4,-7,1.08591221362867,0,0,1,1,42,0,3.5,,0,1,2017,6913.7725
4,-6,0.898224522140409,0,0,1,1,42,0,4,,0,1,2018,6913.7725
4,-5,1.08491709844372,0,0,1,1,42,0,3.566666667,,0,1,2018,6913.7725
4,-4,0.920049075956722,0,0,1,1,42,0,3.666666667,,0,1,2018,6913.7725
4,-3,1.10602569002668,0,0,1,1,42,0,3.133333333,,0,1,2018,6913.7725
4,-2,0.91837415824718,0,0,1,1,42,0,3.733333333,,0,1,2019,6913.7725
4,-1,1.09637683334243,0,0,1,1,42,0,3.233333333,,0,1,2019,6913.7725
4,0,0.993369394205551,0,0,1,1,42,0,3.5,,0,1,2019,6913.7725
4,1,1.18874463977517,0,0,1,1,42,0,2.966666667,,0,1,2019,6913.7725
4,2,1.12453946090937,0,0,1,1,42,0,3.7,,0,1,2020,6913.7725
4,3,1.38572682280188,0,0,1,1,42,0,14.46666667,,0,1,2020,6913.7725
4,4,1.05523865588577,0,0,1,1,42,0,9.1,,0,1,2020,6913.7725
4,5,1.25236403135915,0,0,1,1,42,0,6.533333333,,0,1,2020,6913.7725
4,6,1.02980680952403,0,0,1,1,42,0,5.7,,0,1,2021,6913.7725
4,7,0.569341846293033,0,0,1,1,42,0,5.066666667,,0,1,2021,6913.7725
5,2,0.0911127269597756,0,0,1,0,45,0,3.7,0,1,1,2020,13943.48125
5,-8,1.33890523214925,0,0,1,0,45,,4.333333333,0,1,1,2017,13943.48125
5,3,0.310006620477221,0,0,1,0,45,0,14.46666667,0,1,1,2020,13943.48125
5,-1,0,0,0,1,0,45,0,3.233333333,0,1,1,2019,13943.48125
5,-6,1.29989058507179,0,0,1,0,45,0,4,0,1,1,2018,13943.48125
5,-4,1.65414214617314,0,0,1,0,45,0,3.666666667,0,1,1,2018,13943.48125
5,-7,1.00670698718084,0,0,1,0,45,0,3.5,0,1,1,2017,13943.48125
5,5,0.244167538863367,0,0,1,0,45,1,6.533333333,0,1,1,2020,13943.48125
5,1,0.409510358110891,0,0,1,0,45,1,2.966666667,0,1,1,2019,13943.48125
5,6,0.40006221545283,0,0,1,0,45,1,5.7,0,1,1,2021,13943.48125
5,7,0.52026749058812,0,0,1,0,45,0,5.066666667,0,1,1,2021,13943.48125
5,-2,0.397668265233261,0,0,1,0,45,0,3.733333333,0,1,1,2019,13943.48125
5,-3,0.609824035156213,0,0,1,0,45,0,3.133333333,0,1,1,2018,13943.48125
5,4,0.153509336127949,0,0,1,0,45,1,9.1,0,1,1,2020,13943.48125
5,0,0,0,0,1,0,45,1,3.5,0,1,1,2019,13943.48125
5,-5,1.6928627490355,0,0,1,0,45,0,3.566666667,0,1,1,2018,13943.48125
6,-8,1.18006251857991,1,0,1,1,35,,3.055555556,1,0,1,2017,4856.55625
6,-7,0.872513316406044,1,0,1,1,35,0,2.244444444,1,0,1,2017,4856.55625
6,-6,0.949707933476525,1,0,1,1,35,0,2.522222222,1,0,1,2018,4856.55625
6,-5,0.985420481848635,1,0,1,1,35,0,2.544444444,1,0,1,2018,4856.55625
6,-4,1.01373478377811,1,0,1,1,35,0,2.722222222,1,0,1,2018,4856.55625
6,-3,0.862574174858986,1,0,1,1,35,0,2.166666667,1,0,1,2018,4856.55625
6,-2,1.10314587625748,1,0,1,1,35,0,2.511111111,1,0,1,2019,4856.55625
6,-1,1.0328409147943,1,0,1,1,35,0,2.255555556,1,0,1,2019,4856.55625
6,0,1.16373407597204,1,0,1,1,35,0,2.666666667,1,0,1,2019,4856.55625
6,1,0.966831177956602,1,0,1,1,35,0,2.111111111,1,0,1,2019,4856.55625
6,2,1.04998886814088,1,1,1,1,35,0,2.5,1,0,1,2020,4856.55625
6,3,1.32505002902005,1,1,1,1,35,0,3.622222222,1,0,1,2020,4856.55625
6,4,1.48327943282856,1,1,1,1,35,0,3.133333333,1,0,1,2020,4856.55625
6,5,1.29097650212535,1,1,1,1,35,0,2.344444444,1,0,1,2020,4856.55625
6,6,1.00505785349444,1,1,1,1,35,0,2.222222222,1,0,1,2021,4856.55625
6,7,1.29487844395913,1,1,1,1,35,0,2.188888889,1,0,1,2021,4856.55625
7,-8,0,1,0,0,1,51,,2.666666667,1,0,0,2017,2734.6375
7,-7,0,1,0,0,1,51,1,3.1,1,0,1,2018,2734.6375
7,-6,0,1,0,0,1,51,1,2.8,1,0,1,2018,2734.6375
7,-5,1.66704362095525,1,0,0,1,51,1,3,1,0,1,2018,2734.6375
7,-4,1.53832820620649,1,0,0,1,51,0,2.6,1,0,1,2018,2734.6375
7,-3,1.42378651649442,1,0,0,1,51,0,3.1,1,0,1,2019,2734.6375
7,-2,1.53301123092183,1,0,0,1,51,0,2.666666667,1,0,1,2019,2734.6375
7,-1,1.83783042542202,1,0,0,1,51,0,3,1,0,1,2019,2734.6375
7,0,2.17749153224148,1,0,0,1,51,0,2.4,1,0,1,2019,2734.6375
7,1,1.59410159481833,1,0,0,1,51,0,2.766666667,1,0,0,2020,2734.6375
7,2,0.893485882498137,1,0,0,1,51,0,8.7,1,0,0,2020,2734.6375
7,3,1.13932102518158,1,0,0,1,51,0,5.3,1,0,0,2020,2734.6375
7,4,3.68723459690727,1,0,0,1,51,0,3.566666667,1,0,0,2020,2734.6375
7,5,3.07170511630883,1,0,0,1,51,0,3.333333333,1,0,0,2021,2734.6375
7,6,4.21905645629448,1,0,0,1,51,0,3.033333333,1,0,0,2021,2734.6375
7,7,3.87749381773635,1,0,0,1,51,0,3.033333333,1,0,0,2021,2734.6375
9,-8,0.243842523989699,1,0,1,1,31,,3.5,0,0,1,2017,2780.36
9,-7,0,1,0,1,1,31,0,4,0,0,1,2018,2780.36
9,-6,0,1,0,1,1,31,1,3.566666667,0,0,1,2018,2780.36
9,-5,0,1,0,1,1,31,1,3.666666667,0,0,1,2018,2780.36
9,-4,1.59540491159418,1,0,1,1,31,1,3.133333333,0,0,1,2018,2780.36
9,-3,1.8731782934584,1,0,1,1,31,0,3.733333333,0,0,1,2019,2780.36
9,-2,2.3468651541527,1,0,1,1,31,0,3.233333333,0,0,1,2019,2780.36
9,-1,1.94070911680502,1,0,1,1,31,0,3.5,0,0,1,2019,2780.36
9,0,1.74597606065402,1,0,1,1,31,0,2.966666667,0,0,1,2019,2780.36
9,1,0.755070854133997,1,0,1,1,31,0,3.7,0,0,1,2020,2780.36
9,2,0,1,0,1,1,31,1,14.46666667,0,0,1,2020,2780.36
9,3,0,1,1,1,1,31,1,9.1,0,0,1,2020,2780.36
9,4,1.20741558647082,1,1,1,1,31,1,6.533333333,0,0,1,2020,2780.36
9,5,1.66354356989742,1,1,1,1,31,0,5.7,0,0,1,2021,2780.36
9,6,2.39492367894805,1,1,1,1,31,0,5.066666667,0,0,1,2021,2780.36
9,7,1.79133997036355,1,1,1,1,31,0,4.633333333,0,0,1,2021,2780.36
12,-8,1.33813994362664,0,0,0,0,39,,3.45,1,1,1,2017,3587.06876875
12,-7,0.517662224983514,0,0,0,0,39,0,4.25,1,1,1,2018,3587.06876875
12,-6,0.911822496544937,0,0,0,0,39,0,3.783333333,1,1,1,2018,3587.06876875
12,-5,1.28441956288603,0,0,0,0,39,0,3.883333333,1,1,1,2018,3587.06876875
12,-4,0.875151454398779,0,0,0,0,39,0,3.1,1,1,1,2018,3587.06876875
12,-3,1.00006124255323,0,0,0,0,39,0,4.183333333,1,1,1,2019,3587.06876875
12,-2,0.909523112136181,0,0,0,0,39,0,4.1,1,1,1,2019,3587.06876875
12,-1,1.16321996287069,0,0,0,0,39,0,4.45,1,1,1,2019,3587.06876875
12,0,0.912764770088574,0,0,0,0,39,0,3.683333333,1,1,1,2019,3587.06876875
12,1,1.58996394205943,0,0,0,0,39,0,4.266666667,1,1,1,2020,3587.06876875
12,2,1.6468711309537,0,0,0,0,39,0,8.483333333,1,1,1,2020,3587.06876875
12,3,1.5888181597327,0,0,0,0,39,0,5.45,1,1,1,2020,3587.06876875
12,4,1.71103494125059,0,0,0,0,39,0,3.9,1,1,1,2020,3587.06876875
12,5,1.54833942643799,0,0,0,0,39,0,3.85,1,1,1,2021,3587.06876875
12,6,1.75946166825213,0,0,0,0,39,0,3.666666667,1,1,1,2021,3587.06876875
12,7,1.7741059372602,0,0,0,0,39,0,3.716666667,1,1,1,2021,3587.06876875
13,1,0.0779838434222024,0,0,1,1,38,0,3.833333333,,1,1,2020,3081.4075
13,7,0,0,1,1,1,38,1,3.2,,1,0,2021,3081.4075
13,3,1.59793860435531,0,1,1,1,38,1,5.066666667,,1,1,2020,3081.4075
