"stid","seq","job_apply","treatment","expunge","white","female","age_enroll","income","income_lag","full_time_lag","unemploy_lag","job_deter","local_unemploy","ps_income","ps_employed","ps_job_apply","married","dependent","year"
"KSSTID0001",1,0,1,0,1,1,38,9.27401633371633,9.08557954808101,1,0,0,2.566666667,8826.08,1,0,0,1,2019
"KSSTID0001",2,0,1,1,1,1,38,9.10445305091409,9.27401633371633,1,0,0,3.177777778,8826.08,1,0,0,1,2020
"KSSTID0001",3,0,1,1,1,1,38,9.25120684550723,9.10445305091409,1,0,0,5.533333333,8826.08,1,0,0,1,2020
"KSSTID0001",4,0,1,1,1,1,38,9.27806256983256,9.25120684550723,1,0,0,3.7,8826.08,1,0,0,1,2020
"KSSTID0001",5,0,1,1,1,1,38,9.29653182959044,9.27806256983256,1,0,0,3.511111111,8826.08,1,0,0,1,2021
"KSSTID0001",6,0,1,1,1,1,38,9.82499614098032,9.29653182959044,1,0,0,3.344444444,8826.08,1,0,0,1,2021
"KSSTID0002",1,1,0,0,1,1,45,9.91002165869333,9.73191007090291,1,0,1,2.983333333,16845.7,1,1,1,1,2020
"KSSTID0002",2,1,0,1,1,1,45,9.82620794066173,9.91002165869333,1,0,1,6.433333333,16845.7,1,1,1,1,2020
"KSSTID0002",3,0,0,1,1,1,45,9.94301062382074,9.82620794066173,1,0,0,4.483333333,16845.7,1,1,1,1,2020
"KSSTID0002",4,0,0,1,1,1,45,10.2192365382172,9.94301062382074,1,0,0,3.15,16845.7,1,1,1,1,2020
"KSSTID0002",5,0,0,1,1,1,45,9.92394486743838,10.2192365382172,0,0,0,2.95,16845.7,1,1,1,1,2021
"KSSTID0002",6,0,0,1,1,1,45,10.0628040095886,9.92394486743838,1,0,0,2.766666667,16845.7,1,1,1,1,2021
"KSSTID0003",1,1,1,0,0,0,23,7.51753715481794,6.41163762742169,0,0,0,2.966666667,607.89,1,1,0,0,2019
"KSSTID0003",2,0,1,0,0,0,23,4.73180283692146,7.51753715481794,0,0,0,14.46666667,607.89,1,1,0,0,2020
"KSSTID0003",3,,1,1,0,0,23,7.05800980722993,4.73180283692146,0,0,,9.1,607.89,1,1,0,0,2020
"KSSTID0003",4,,1,1,0,0,23,7.59229048269352,7.05800980722993,0,0,,6.533333333,607.89,1,1,0,0,2020
"KSSTID0003",5,,1,1,0,0,23,6.91224518425499,7.59229048269352,0,0,,5.7,607.89,1,1,0,0,2021
"KSSTID0003",6,,1,1,0,0,23,7.16819461504004,6.91224518425499,0,0,,5.066666667,607.89,1,1,0,0,2021
"KSSTID0004",1,1,0,0,1,1,42,9.01429020762253,8.84141498251894,1,0,1,2.966666667,6913.77,1,1,0,1,2019
"KSSTID0004",2,0,0,0,1,1,42,9.1675998716333,9.01429020762253,1,0,0,14.46666667,6913.77,1,1,0,1,2020
"KSSTID0004",3,0,0,0,1,1,42,8.89517472916554,9.1675998716333,1,0,0,9.1,6913.77,1,1,0,1,2020
"KSSTID0004",4,0,0,0,1,1,42,9.06641919195161,8.89517472916554,1,0,0,6.533333333,6913.77,1,1,0,1,2020
"KSSTID0004",5,0,0,0,1,1,42,8.87078237930303,9.06641919195161,1,0,0,5.7,6913.77,1,1,0,1,2021
"KSSTID0004",6,0,0,0,1,1,42,8.27825048819305,8.87078237930303,1,0,0,5.066666667,6913.77,1,1,0,1,2021
"KSSTID0005",1,1,0,0,1,0,45,8.65014941866486,9.5428390100153,1,0,1,2.966666667,13943.48,0,1,1,1,2019
"KSSTID0005",2,1,0,0,1,0,45,8.37183707579121,8.65014941866486,1,0,1,14.46666667,13943.48,0,1,1,1,2020
"KSSTID0005",3,1,0,0,1,0,45,7.66924057338869,8.37183707579121,0,1,1,9.1,13943.48,0,1,1,1,2020
"KSSTID0005",4,1,0,0,1,0,45,8.1331604113321,7.66924057338869,0,1,0,6.533333333,13943.48,0,1,1,1,2020
"KSSTID0005",5,1,0,0,1,0,45,8.62681143009356,8.1331604113321,0,1,0,5.7,13943.48,0,1,1,1,2021
"KSSTID0005",6,1,0,0,1,0,45,8.88949302845176,8.62681143009356,1,0,0,5.066666667,13943.48,0,1,1,1,2021
"KSSTID0006",1,0,1,0,1,1,35,8.45456644167862,8.48829153320825,1,0,1,2.111111111,4856.56,1,0,0,1,2019
"KSSTID0006",2,1,1,1,1,1,35,8.76969047540298,8.45456644167862,1,0,1,3.622222222,4856.56,1,0,0,1,2020
"KSSTID0006",3,1,1,1,1,1,35,8.88247915388807,8.76969047540298,1,0,0,3.133333333,4856.56,1,0,0,1,2020
"KSSTID0006",4,0,1,1,1,1,35,8.7436432701386,8.88247915388807,1,0,0,2.344444444,4856.56,1,0,0,1,2020
"KSSTID0006",5,0,1,1,1,1,35,8.49333483074095,8.7436432701386,1,0,0,2.222222222,4856.56,1,0,0,1,2021
"KSSTID0006",6,0,1,1,1,1,35,8.74666070426714,8.49333483074095,1,0,0,2.188888889,4856.56,1,0,0,1,2021
"KSSTID0007",1,1,1,0,0,1,51,8.69209562780589,7.9141206911378,0,0,1,2.4,2734.64,1,1,0,1,2019
"KSSTID0007",2,1,1,0,0,1,51,7.80153860895298,8.69209562780589,1,0,1,8.7,2734.64,1,1,0,0,2020
"KSSTID0007",3,1,1,0,0,1,51,8.04450756883954,7.80153860895298,0,0,1,5.3,2734.64,1,1,0,0,2020
"KSSTID0007",4,0,1,0,0,1,51,9.21873007974981,8.04450756883954,0,0,0,3.566666667,2734.64,1,1,1,0,2020
"KSSTID0007",5,0,1,0,0,1,51,9.03610602536485,9.21873007974981,1,0,0,3.333333333,2734.64,1,1,0,0,2021
"KSSTID0007",6,0,1,0,0,1,51,9.35345234888822,9.03610602536485,1,0,0,3.033333333,2734.64,1,1,0,0,2021
"KSSTID0008",1,0,0,0,1,0,46,0,0,0,1,1,2.966666667,0,1,0,1,0,2019
"KSSTID0008",2,0,0,0,1,0,46,0,0,0,1,0,14.46666667,0,1,0,0,0,2020
"KSSTID0008",3,0,0,0,1,0,46,0,0,0,1,0,9.1,0,1,0,1,0,2020
"KSSTID0008",4,1,0,0,1,0,46,0,0,0,1,1,6.533333333,0,1,0,1,0,2020
"KSSTID0008",5,1,0,0,1,0,46,0,0,0,1,1,5.7,0,1,0,1,0,2021
"KSSTID0008",6,1,0,0,1,0,46,0,0,0,1,1,5.066666667,0,1,0,1,0,2021
"KSSTID0009",1,1,1,0,1,1,31,7.64986822733991,7.93069529569425,0,0,1,3.7,2780.36,0,1,0,1,2020
"KSSTID0009",2,1,1,0,1,1,31,0,7.64986822733991,0,1,1,14.46666667,2780.36,0,1,0,1,2020
"KSSTID0009",3,1,1,1,1,1,31,0,0,0,1,0,9.1,2780.36,0,1,0,1,2020
"KSSTID0009",4,1,1,1,1,1,31,8.119115727342,0,1,1,0,6.533333333,2780.36,0,1,0,1,2020
"KSSTID0009",5,0,1,1,1,1,31,8.43950188370037,8.119115727342,0,0,0,5.7,2780.36,0,1,0,1,2021
"KSSTID0009",6,1,1,1,1,1,31,8.80383722529235,8.43950188370037,1,0,0,5.066666667,2780.36,0,1,0,1,2021
"KSSTID0010",1,0,1,0,1,1,40,0,0,0,1,0,3.7,0,1,0,1,1,2020
"KSSTID0010",2,0,1,0,1,1,40,0,0,0,1,0,9.933333333,0,1,0,1,1,2020
"KSSTID0010",3,0,1,0,1,1,40,0,0,0,1,0,6.1,0,1,0,1,1,2020
"KSSTID0010",4,0,1,0,1,1,40,0,0,0,1,0,4.366666667,0,1,0,1,1,2020
"KSSTID0010",5,0,1,0,1,1,40,0,0,0,1,0,4.066666667,0,1,0,0,1,2021
"KSSTID0010",6,0,1,0,1,1,40,0,0,0,1,0,3.533333333,0,1,0,0,1,2021
"KSSTID0011",1,1,0,0,1,1,29,0,0,0,1,1,3.883333333,0,1,1,0,1,2020
"KSSTID0011",2,1,0,0,1,1,29,0,0,0,1,1,8.3,0,1,1,1,1,2020
"KSSTID0011",3,1,0,0,1,1,29,0,0,0,1,1,5.1,0,1,1,1,1,2020
