Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.061614946,.026902707,.022004634,.0088866074,.11434329
0,2,.1145855,.041665193,.005956816,.032923214,.19624777
0,3,.1401996,.04982572,.0048959698,.042542987,.23785622
0,4,.14308381,.051972661,.0059041213,.041219272,.24494836
0,5,.1563853,.057836667,.0068528303,.043027513,.26974308
1,1,.050192796,.022169014,.023568155,.0067423265,.093643263
1,2,.10048937,.033657178,.0028295387,.034522515,.16645622
1,3,.12269901,.040984459,.0027553237,.042370941,.20302707
1,4,.1499072,.046715312,.0013321968,.058346871,.24146752
1,5,.12574024,.042235754,.0029098489,.042959694,.20852081
