Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.36106727,.05296373,9.2796291e-12,.25726026,.46487427
0,2,.31230798,.057761684,6.4147599e-08,.19909717,.42551881
0,3,.36615199,.063878872,9.9268718e-09,.24095172,.49135229
0,4,.30108926,.067010902,7.0181122e-06,.1697503,.43242821
0,5,.26869488,.070793375,.00014735763,.12994242,.40744734
1,1,.31908065,.10980837,.0036632118,.10386018,.5343011
1,2,.29251525,.068702787,.000020654903,.15786026,.42717022
1,3,.20846555,.068351246,.0022890561,.074499562,.34243152
1,4,.26568115,.065008588,.000043724645,.13826665,.39309564
1,5,.29770297,.069827944,.000020135885,.16084272,.43456325
