Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.058694344,.029925268,.049836576,.000041895903,.11734679
0,2,.10444681,.044009384,.017630661,.018189998,.19070362
0,3,.092222609,.041704196,.027011547,.010483889,.17396133
0,4,.12738401,.055665817,.022115964,.018281007,.236487
0,5,.13443366,.060302887,.02579347,.016242174,.25262514
1,1,.045221638,.022942545,.048714496,.00025507543,.090188205
1,2,.087794833,.035228834,.012697954,.018747589,.15684208
1,3,.075902805,.031816319,.017048672,.013543966,.13826165
1,4,.067951344,.029946756,.023263941,.0092567857,.12664591
1,5,.063982226,.028975707,.027234975,.0071908841,.12077357
