Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.58990103,.052905165,7.1478037e-29,.48620883,.69359326
0,2,.39867693,.057557374,4.3107310e-12,.28586656,.51148731
0,3,.31349331,.06250488,5.2895280e-07,.19098601,.43600065
0,4,.39198932,.063027546,4.9927062e-10,.26845762,.51552105
0,5,.35385868,.070270598,4.7621012e-07,.21613085,.49158654
1,1,.40216076,.10358839,.00010347484,.19913127,.60519028
1,2,.41701984,.071943462,6.7715566e-09,.27601326,.55802643
1,3,.25122583,.067834511,.00021263653,.11827262,.38417903
1,4,.14117488,.067733712,.037136234,.0084192455,.27393052
1,5,.22624311,.067104444,.00074758142,.094720811,.35776541
