effect,b,se,pvalue,ll,ul
Expunge1,-.8410984229420337,.9316299182989568,.3666189845875873,-2.667059509727982,.9848626638439144
ES2,1.043415652460877,.8314244616831481,.2094883862948995,-.5861463483036957,2.672977653225449
ES3,1.011075648156649,.9008985641684828,.2617362321255071,-.7546530913374236,2.776804387650722
ES4,.8211880513364371,.8983255579493712,.3606475409646118,-.9394976886361794,2.581873791309054
ES5,.8317172812044117,.9029803304830901,.3570085696381515,-.9380916452905202,2.601526207699344
ES6,1.013417550420399,.9064334679089907,.263555245482771,-.7631594010629652,2.789994501903764
Sequence2,-.0255214646541045,.0977154589890522,.793952587361255,-.2170402450054476,.1659973156972385
Sequence3,.062374849581213,.1170435504637569,.5940889560003155,-.1670262939504468,.2917759931128729
Sequence4,-.005914617205128,.1183390360926241,.9601381093812142,-.2378548659118568,.2260256315016008
Sequence5,.1596212175492754,.1280686592369957,.2126277796361055,-.0913887421035691,.4106311772021199
Sequence6,.114681639320964,.1374553978738859,.4041012920906423,-.1547259899924759,.384089268634404
