Expungement,Sequence,b,se,pvalue,ll,ul
0,1,2.8270373,.12585041,0,2.580375,3.0736995
0,2,2.9109986,.13025859,0,2.6556964,3.1663008
0,3,2.8465228,.13408194,0,2.5837271,3.1093187
0,4,3.0038798,.13937758,0,2.7307048,3.2770548
0,5,2.9598768,.15165497,0,2.6626384,3.2571151
1,1,3.0108743,.24504845,1.0657561e-34,2.5305879,3.4911604
1,2,3.0751452,.15942878,0,2.7626705,3.38762
1,3,2.8211238,.14863667,0,2.5298014,3.1124463
1,4,2.9995692,.15226296,0,2.7011392,3.2979991
1,5,3.1320281,.16358757,0,2.8114023,3.4526539
