effect,b,se,pvalue,ll,ul
Expunge1,-1.51014583108036,1.409966780827497,.2841466579979631,-4.273629940900134,1.253338278739413
ES2,1.647782885263249,1.28419562779007,.1994484581658597,-.8691942943090922,4.164760064835591
ES3,1.118206151727445,1.338486998444365,.4034781848930907,-1.505180158998628,3.741592462453519
ES4,1.546463697173957,1.362474783076143,.2563584608689934,-1.123937807499306,4.21686520184722
ES5,1.212144591957352,1.371824269001656,.3769119161465618,-1.476581568403881,3.900870752318585
ES6,1.424961262613092,1.367694742916547,.2974715678649228,-1.255671175348108,4.105593700574292
Sequence2,-.1585425513973073,.153084560514145,.3003638520883955,-.4585827765941739,.1414976737995594
Sequence3,.0026759484459774,.0301924208415322,.9293761183691176,-.0565001090095023,.061852005901457
Sequence4,-.0119474892615522,.1248336661549746,.9237530676127582,-.2566169789833992,.2327220004602947
Sequence5,-.4359130106677733,.1391140700172587,.0017273884377374,-.7085715776443837,-.1632544436911629
Sequence6,0,,,,
