Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.13016814,.20057431,.51635313,-.52328658,.26295027
0,2,-.072686233,.20860633,.72751176,-.48154712,.33617467
0,3,-.3346332,.21800281,.12478507,-.76191086,.092644453
0,4,-.34901488,.22416601,.11948276,-.78837216,.090342417
0,5,-.39497581,.27043435,.14414617,-.92501742,.13506579
1,1,-.1902452,.37545457,.61236095,-.92612267,.54563224
1,2,-.32102579,.24543262,.19087341,-.8020649,.16001332
1,3,-.14447215,.25343996,.56864727,-.64120537,.35226104
1,4,-.60629314,.25471094,.017297687,-1.1055175,-.10706887
1,5,-.5932954,.25349987,.019262223,-1.0901459,-.096444771
