effect,b,se,pvalue,ll,ul
Expunge1,1.779790276211748,2.117366290068478,.4005900108552435,-2.370171394401658,5.929751946825154
ES2,-1.765320500311365,1.95046109391915,.3654237744513997,-5.588153997639494,2.057512997016764
ES3,-1.424694825630945,2.033776211486648,.483604487616755,-5.410822952759091,2.5614333014972
ES4,-2.038408082186547,2.071992724518587,.3252182170981799,-6.099439198471999,2.022623034098905
ES5,-1.625934655726116,2.071675651758672,.4325471756822876,-5.686344320821656,2.434475009369424
ES6,-1.720672335093824,2.087636103901149,.4098143185655523,-5.812363911565594,2.371019241377946
Sequence2,.2187977315135283,.2230032772829985,.3265230528063578,-.2182806603955478,.6558761234226044
Sequence3,.0287773878681275,.053376357410904,.5897895004370202,-.075838350283182,.133393126019437
Sequence4,-.0790452136023238,.1692577204234788,.6404920235957688,-.4107842497376917,.2526938225330441
Sequence5,.6515230975165505,.1971596906092407,.0009513065489167,.2650972047193788,1.037948990313722
Sequence6,0,,,,
