Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.667141,.33696085,0,7.0067101,8.3275719
0,2,7.4565687,.33214441,0,6.8055773,8.1075592
0,3,7.7383838,.35169691,0,7.0490704,8.4276972
0,4,7.9972181,.34827921,0,7.3146033,8.6798325
0,5,8.0115061,.37931076,0,7.2680712,8.7549419
1,1,7.6362195,.61254966,1.1401576e-35,6.4356446,8.8367949
1,2,7.8093781,.37952617,0,7.0655203,8.553236
1,3,7.4810791,.39883637,0,6.6993742,8.262784
1,4,8.1500368,.38631517,0,7.3928733,8.9072008
1,5,8.0992661,.38162953,0,7.3512859,8.8472462
