"stid","seq","m_rent","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","ps_income","ps_employed","ps_m_rent","full_time","full_time_lag","unemploy_lag","local_unemploy","married","dependent","year"
"KSSTID0001",1,0,1,0,1,1,38,10656.47,9.27401633371633,9.08557954808101,9.08557954808101,1,0,1,1,0,2.566666667,0,1,2019
"KSSTID0001",2,0,1,1,1,1,38,8994.26,9.10445305091409,9.27401633371633,9.08557954808101,1,0,1,1,0,3.177777778,0,1,2020
"KSSTID0001",3,0,1,1,1,1,38,10416.13,9.25120684550723,9.10445305091409,9.08557954808101,1,0,1,1,0,5.533333333,0,1,2020
"KSSTID0001",4,1,1,1,1,1,38,10699.68,9.27806256983256,9.25120684550723,9.08557954808101,1,0,1,1,0,3.7,0,1,2020
"KSSTID0001",5,1,1,1,1,1,38,10899.15,9.29653182959044,9.27806256983256,9.08557954808101,1,0,1,1,0,3.511111111,0,1,2021
"KSSTID0001",6,0,1,1,1,1,38,18489.2,9.82499614098032,9.29653182959044,9.08557954808101,1,0,1,1,0,3.344444444,0,1,2021
"KSSTID0002",1,0,0,0,1,1,45,20130.11,9.91002165869333,9.73191007090291,9.73191007090291,1,0,1,1,0,2.983333333,1,1,2020
"KSSTID0002",2,0,0,1,1,1,45,18511.62,9.82620794066173,9.91002165869333,9.73191007090291,1,0,1,1,0,6.433333333,1,1,2020
"KSSTID0002",3,0,0,1,1,1,45,20805.29,9.94301062382074,9.82620794066173,9.73191007090291,1,0,1,1,0,4.483333333,1,1,2020
"KSSTID0002",4,0,0,1,1,1,45,27424.72,10.2192365382172,9.94301062382074,9.73191007090291,1,0,0,1,0,3.15,1,1,2020
"KSSTID0002",5,0,0,1,1,1,45,20412.36,9.92394486743838,10.2192365382172,9.73191007090291,1,0,1,0,0,2.95,1,1,2021
"KSSTID0002",6,0,0,1,1,1,45,23453.18,10.0628040095886,9.92394486743838,9.73191007090291,1,0,1,1,0,2.766666667,1,1,2021
"KSSTID0003",1,0,1,0,0,0,23,1839.03,7.51753715481794,6.41163762742169,6.41163762742169,1,0,0,0,0,2.966666667,0,0,2019
"KSSTID0003",2,0,1,0,0,0,23,112.5,4.73180283692146,7.51753715481794,6.41163762742169,1,0,0,0,0,14.46666667,0,0,2020
"KSSTID0003",3,0,1,1,0,0,23,1161.13,7.05800980722993,4.73180283692146,6.41163762742169,1,0,0,0,0,9.1,0,0,2020
"KSSTID0003",4,0,1,1,0,0,23,1981.85,7.59229048269352,7.05800980722993,6.41163762742169,1,0,0,0,0,6.533333333,0,0,2020
"KSSTID0003",5,0,1,1,0,0,23,1003.5,6.91224518425499,7.59229048269352,6.41163762742169,1,0,0,0,0,5.7,0,0,2021
"KSSTID0003",6,1,1,1,0,0,23,1296.5,7.16819461504004,6.91224518425499,6.41163762742169,1,0,1,1,0,5.066666667,0,0,2021
"KSSTID0004",1,0,0,0,1,1,42,8218.71,9.01429020762253,8.84141498251894,8.84141498251894,1,0,1,1,0,2.966666667,0,1,2019
"KSSTID0004",2,0,0,0,1,1,42,9580.6,9.1675998716333,9.01429020762253,8.84141498251894,1,0,1,1,0,14.46666667,0,1,2020
"KSSTID0004",3,0,0,0,1,1,42,7295.68,8.89517472916554,9.1675998716333,8.84141498251894,1,0,1,1,0,9.1,0,1,2020
"KSSTID0004",4,0,0,0,1,1,42,8658.56,9.06641919195161,8.89517472916554,8.84141498251894,1,0,1,1,0,6.533333333,0,1,2020
"KSSTID0004",5,0,0,0,1,1,42,7119.85,8.87078237930303,9.06641919195161,8.84141498251894,1,0,1,1,0,5.7,0,1,2021
"KSSTID0004",6,0,0,0,1,1,42,3936.3,8.27825048819305,8.87078237930303,8.84141498251894,1,0,1,1,0,5.066666667,0,1,2021
"KSSTID0005",1,0,0,0,1,0,45,5710,8.65014941866486,9.5428390100153,9.5428390100153,0,0,1,1,0,2.966666667,1,1,2019
"KSSTID0005",2,0,0,0,1,0,45,4322.5715,8.37183707579121,8.65014941866486,9.5428390100153,0,0,0,1,0,14.46666667,1,1,2020
"KSSTID0005",3,0,0,0,1,0,45,2140.45455,7.66924057338869,8.37183707579121,9.5428390100153,0,0,0,0,1,9.1,1,1,2020
"KSSTID0005",4,0,0,0,1,0,45,3404.5455,8.1331604113321,7.66924057338869,9.5428390100153,0,0,0,0,1,6.533333333,1,1,2020
"KSSTID0005",5,0,0,0,1,0,45,5578.26,8.62681143009356,8.1331604113321,9.5428390100153,0,0,1,0,1,5.7,1,1,2021
"KSSTID0005",6,0,0,0,1,0,45,7254.34,8.88949302845176,8.62681143009356,9.5428390100153,0,0,1,1,0,5.066666667,1,1,2021
"KSSTID0006",1,0,1,0,1,1,35,4695.47,8.45456644167862,8.48829153320825,8.48829153320825,1,0,1,1,0,2.111111111,0,1,2019
"KSSTID0006",2,0,1,1,1,1,35,6435.18,8.76969047540298,8.45456644167862,8.48829153320825,1,0,1,1,0,3.622222222,0,1,2020
"KSSTID0006",3,0,1,1,1,1,35,7203.63,8.88247915388807,8.76969047540298,8.48829153320825,1,0,1,1,0,3.133333333,0,1,2020
"KSSTID0006",4,0,1,1,1,1,35,6269.7,8.7436432701386,8.88247915388807,8.48829153320825,1,0,1,1,0,2.344444444,0,1,2020
"KSSTID0006",5,0,1,1,1,1,35,4881.12,8.49333483074095,8.7436432701386,8.48829153320825,1,0,1,1,0,2.222222222,0,1,2021
