Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.016138377,.0095636444,.091512747,-.0026060222,.034882776
0,2,.043860584,.020691903,.034031536,.0033051977,.084415972
0,3,.056406364,.024630411,.022014914,.0081316428,.10468108
0,4,.052611057,.025531653,.039339222,.0025699369,.10265218
0,5,.056577597,.027706159,.041145738,.0022745214,.11088067
1,1,.02815981,.012221497,.021215832,.0042061177,.052113503
1,2,.065030612,.023011075,.0047124848,.019929737,.11013149
1,3,.077095419,.028556708,.0069395676,.021125296,.13306554
1,4,.094703496,.033263892,.0044128355,.029507471,.15989953
1,5,.086999014,.033518139,.0094431415,.021304667,.15269336
