Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.3015599,.051371966,4.3546571e-09,.20087267,.4022471
0,2,.28497019,.054392897,1.6135539e-07,.17836209,.39157832
0,3,.33660427,.057940852,6.2679799e-09,.22304229,.45016626
0,4,.26957181,.060854964,9.4345742e-06,.15029827,.38884532
0,5,.27681732,.062987171,.000011086425,.15336475,.40026993
1,1,.46291843,.10601762,.000012629427,.2551277,.67070913
1,2,.33197334,.069256254,1.6397315e-06,.1962336,.46771312
1,3,.32189465,.066618055,1.3520704e-06,.19132566,.45246366
1,4,.34686944,.065886639,1.4046444e-07,.21773399,.47600487
1,5,.31119001,.072671674,.000018510729,.16875616,.45362389
