Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.017350497,.0098895235,.079356514,-.0020326136,.036733609
0,2,.024021959,.01305789,.065819509,-.0015710356,.049614955
0,3,.035452358,.017934185,.048063837,.00030200428,.070602715
0,4,.040472176,.020988069,.053812601,-.00066368439,.081608035
0,5,.031591661,.01796829,.078715228,-.0036255375,.066808864
1,1,.010284333,.0055872877,.065670483,-.00066655071,.021235216
1,2,.029933644,.013626849,.028044263,.0032255114,.05664178
1,3,.028599061,.013346875,.032132912,.0024396665,.054758456
1,4,.022302421,.01184214,.059658375,-.00090774754,.045512587
1,5,.024314333,.012480205,.051387232,-.0001464199,.048775084
