Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.099700697,.042075593,.017809207,.017234046,.18216734
0,2,.077495664,.042080317,.065531768,-.0049802442,.15997157
0,3,.08105398,.046863433,.083705626,-.010796659,.17290461
0,4,.12655608,.046783846,.0068278969,.034861434,.21825074
0,5,.07450927,.044780646,.096137986,-.013259184,.16227771
1,1,.1676722,.087509856,.055360265,-.0038439599,.33918837
1,2,.09855479,.049838386,.04798653,.00087335298,.19623624
1,3,.088729352,.048382249,.066665322,-.0060981121,.18355682
1,4,-.0063710022,.045881063,.88956147,-.096296228,.083554223
1,5,.038803093,.048441242,.42311183,-.056139994,.13374618
