Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.014076772,.0086385664,.10320162,-.0028545065,.031008052
0,2,.01768267,.010361142,.08789023,-.0026247953,.037990134
0,3,.0152996,.0092860879,.099438287,-.0029007981,.033499997
0,4,.022483034,.012803916,.079096973,-.0026121798,.047578249
0,5,.015898189,.010404078,.12649448,-.0044934307,.036289807
1,1,.0063185147,.0037130744,.088812836,-.0009589775,.013596007
1,2,.010828774,.005546337,.050888445,-.000041845527,.021699395
1,3,.011803156,.0065759048,.072668076,-.0010853809,.024691693
1,4,.0067381314,.0042366157,.11173308,-.0015654826,.015041745
1,5,.0031050749,.0021482457,.14834549,-.0011054092,.0073155588
