Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.12349615,.042305093,.0035095445,.040579688,.20641261
0,2,.087887339,.042033777,.036539346,.0055026487,.17027202
0,3,.037422057,.045380548,.40958294,-.051522177,.12636629
0,4,.098388955,.045816641,.031757455,.0085899904,.18818791
0,5,.014888719,.045917816,.74575096,-.07510855,.10488599
1,1,.18949573,.090056516,.035362173,.012988186,.36600325
1,2,.040011253,.051296923,.43539485,-.060528871,.14055137
1,3,.017568035,.049752977,.72400957,-.079946004,.11508208
1,4,-.082291916,.047865476,.085571907,-.17610653,.01152269
1,5,-.10034987,.046986219,.032701436,-.19244117,-.0082585765
