Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.038057119,.018479751,.039456367,.0018374693,.074276768
0,2,.069583856,.02884616,.015854852,.013046418,.12612128
0,3,.10966801,.04233741,.0095882984,.026688214,.19264781
0,4,.12389331,.044445995,.0053116088,.03678076,.21100585
0,5,.12669837,.045785274,.0056534875,.036960889,.21643586
1,1,.034754686,.016385913,.033920947,.0026388885,.066870488
1,2,.092541181,.03082417,.0026801156,.032126915,.15295544
1,3,.075895675,.029373368,.0097711058,.01832493,.13346642
1,4,.1339649,.043180469,.001919313,.049332727,.21859705
1,5,.11053139,.038394406,.0039913934,.03527974,.18578304
