Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.22984473,.042312544,5.5703818e-08,.14691368,.31277579
0,2,.22348866,.043388754,2.5931851e-07,.13844825,.30852905
0,3,.26626781,.051043615,1.8235878e-07,.16622417,.36631146
0,4,.24025987,.051785626,3.4923805e-06,.13876191,.34175783
0,5,.19904733,.05148704,.00011064872,.098134585,.29996008
1,1,.27500421,.085626692,.0013196837,.10717897,.44282943
1,2,.27027747,.055218551,9.8462738e-07,.16205111,.37850386
1,3,.20412818,.050967082,.000061991639,.10423454,.30402184
1,4,.2514582,.053972412,3.1772836e-06,.14567421,.3572422
1,5,.26546702,.054360904,1.0426251e-06,.15892161,.37201244
