"stid","recid","treatment","expunge","white","female","age_enroll","total_income","income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0001",0,1,1,1,1,38,10690.64875,9.23562613538901,1,0,0,4.068055555625,0,1
"KSSTID0002",0,0,1,1,1,45,20543.4575,9.9180138613517,1,0,0,3.49375,1,1
"KSSTID0003",0,1,1,0,0,23,1016.48,6.56499909293199,1,0,0,6.379166667125,0,0
"KSSTID0004",0,0,0,1,1,42,7431.555,8.88575667537556,,0,0,6.379166667125,0,1
"KSSTID0005",0,0,0,1,0,45,3710.07501875,7.18607354585738,0,1,1,6.379166667125,1,1
"KSSTID0006",0,1,1,1,1,35,5815.6025,8.65841638261968,1,0,0,2.598611111,0,1
"KSSTID0007",0,1,0,0,1,51,7062.16375,8.72447019972322,1,0,0,4.016666666625,0,1
"KSSTID0008",0,0,0,1,0,46,0,0,,1,1,6.52083333375,0,0
"KSSTID0009",0,1,1,1,1,31,3321.92885,6.25170985772493,0,1,1,6.52083333375,0,1
"KSSTID0010",0,1,0,1,1,40,0,0,1,1,1,4.79583333325,0,1
"KSSTID0011",0,0,0,1,1,29,0,0,1,1,1,4.283333333375,0,1
"KSSTID0012",0,0,0,0,0,39,5618.85625,8.61613711819941,1,0,0,4.627083333375,1,1
"KSSTID0013",0,0,1,1,1,38,1741.6225,4.6399024876188,,1,1,4.1375,1,1
"KSSTID0014",0,1,1,1,0,26,5605.507555,8.15578965362579,1,1,1,3.50208333325,0,0
"KSSTID0015",0,0,0,1,0,44,0,0,1,1,1,3.07083333325,1,1
"KSSTID0016",0,1,1,1,0,28,3394.69,8.09767404641377,1,0,0,6.52083333375,0,0
"KSSTID0017",0,1,0,1,0,50,17000.03000625,9.73303702708894,1,0,0,5.0875000005,1,0
"KSSTID0018",0,1,1,1,1,44,1190.04625,2.73460718340075,1,1,1,6.52083333375,1,1
"KSSTID0019",0,1,1,1,0,27,211.915,2.87240731580771,1,1,1,4.79583333325,0,0
"KSSTID0020",0,0,1,1,0,58,10105.41125,9.20840871218139,1,0,0,6.52083333375,0,0
"KSSTID0021",0,1,0,1,0,53,0,0,1,1,1,6.52083333375,0,0
"KSSTID0022",0,1,1,1,0,37,0,0,1,1,1,4.85,0,0
"KSSTID0023",0,0,1,1,0,29,4742.955,8.17261584844054,1,0,0,5.804166667,0,0
"KSSTID0024",0,1,1,1,0,39,20387.00375,9.91448966448959,1,0,0,5.0875000005,1,1
"KSSTID0025",1,0,0,1,1,47,13260.52080625,9.44071339934138,1,0,0,6.53333333375,0,1
"KSSTID0026",0,1,1,1,0,56,0,0,1,1,1,6.53333333375,0,0
"KSSTID0027",0,0,0,1,1,33,120,0.858496801121286,1,1,1,4.170833333375,1,1
"KSSTID0028",0,0,0,1,1,26,1192.50875,5.48120165295074,1,1,1,5.045833333875,0,1
"KSSTID0029",0,1,1,1,1,42,17236.025,9.71690247953968,1,0,0,4.662500000125,0,1
"KSSTID0030",0,1,1,0,1,33,9774.3575,9.17229857680051,1,0,0,6.53333333375,0,1
"KSSTID0031",0,0,0,1,0,71,0,0,1,1,1,4.704166666625,0,0
"KSSTID0032",0,1,1,1,0,56,0,0,1,1,1,4.704166666625,0,0
"KSSTID0033",1,0,1,1,1,43,5005.26875,8.46737937885947,1,0,0,3.4416666665,0,1
"KSSTID0034",0,0,0,1,0,47,0,0,1,1,1,4.4166666665,1,0
"KSSTID0035",0,0,0,1,0,42,20033.56125,9.89518218120831,1,0,0,6.53333333375,1,1
"KSSTID0036",0,0,0,0,1,63,0,0,1,1,1,5.027083332875,0,0
"KSSTID0037",0,1,1,0,1,34,9775.705,9.18314895221081,1,0,0,6.53333333375,0,1
"KSSTID0038",1,1,1,1,0,29,5866.8075,8.63018385703804,0,1,1,6.53333333375,0,1
"KSSTID0039",0,1,1,1,0,24,9396.20625,9.10609161276825,1,0,0,4.172222222125,0,0
"KSSTID0041",0,1,1,1,0,57,5147.17875,5.63308788427571,1,1,1,6.53333333375,1,0
"KSSTID0042",1,1,1,1,1,30,7226.8962625,8.83909537501873,1,1,1,4.704166666625,0,1
"KSSTID0043",0,1,1,1,0,47,0,0,0,1,1,5.605555555625,1,1
"KSSTID0044",0,1,1,1,1,46,1709.545,2.92513967362644,0,1,1,6.53333333375,1,0
"KSSTID0045",0,0,0,0,1,28,1698.56374625,3.98869443481935,1,1,1,4.704166666625,0,1
"KSSTID0046",0,0,0,1,1,46,3023.46125,6.49416820032282,1,1,1,4.454166666625,0,1
"KSSTID0047",0,1,1,1,0,64,1609.60125,3.92772658098483,1,1,1,5.78958333375,0,0
"KSSTID0048",0,0,0,1,0,50,9030.86875,9.10097519282916,1,0,0,6.53333333375,1,1
"KSSTID0049",0,0,0,1,1,24,5714.55649,6.67952892269009,1,1,1,6.491666667125,0,0
"KSSTID0050",1,1,0,0,0,46,20198.47,9.90919346429295,1,0,0,4.06041666675,1,1
"KSSTID0051",0,0,1,1,1,29,3614.49125,7.09231064647399,1,1,1,6.491666667125,0,1
"KSSTID0052",0,0,0,0,0,48,28833.2325,10.2631080660412,1,0,0,4.0229166665,0,0
"KSSTID0053",0,0,0,1,1,26,964.22125,4.52344732647844,1,1,1,3.0916666665,0,1
"KSSTID0054",0,1,1,1,1,51,0,0,1,1,1,4.7,0,0
"KSSTID0055",0,1,0,1,0,40,12843.5337425,8.23362428767366,0,1,1,4.956249999875,1,1
"KSSTID0056",0,0,0,1,1,43,1574.04625,4.48011953149987,0,1,1,4.35833333325,0,1
"KSSTID0057",0,0,0,1,0,45,3421.06875,7.94357734904319,1,0,0,6.491666667125,0,0
"KSSTID0058",0,1,1,0,1,27,5400.3075,8.49189677286478,1,0,0,6.016666666625,0,1
"KSSTID0059",0,0,0,1,0,26,10757.28,9.27731105488933,1,0,0,4.391666666625,1,1
"KSSTID0060",0,1,0,1,1,36,8747.9375,9.06436701021051,1,0,0,6.491666667125,0,1
"KSSTID0061",0,0,0,1,0,65,14317.10875,9.56219214387679,1,0,0,4.945833332875,0,0
"KSSTID0062",0,1,1,1,1,40,2579.84375,2.30953995767543,1,1,1,3.54166666675,0,0
"KSSTID0063",1,0,0,1,0,26,3655.045,7.21366338215128,1,1,1,3.26666666675,1,1
"KSSTID0064",0,0,0,1,0,65,2028.36125,4.9926688244454,1,1,1,,0,0
"KSSTID0065",1,0,0,0,0,42,0,0,1,1,1,6.491666667125,0,1
"KSSTID0066",0,1,1,1,1,55,4309.9525,7.10379092306025,0,1,1,4.404166666625,1,0
"KSSTID0067",0,0,0,1,1,37,1724.5675,3.08840872392676,1,1,1,6.491666667125,0,1
"KSSTID0068",0,1,1,1,1,60,166.045,0.89905661279912,1,1,1,2.800000000125,0,0
"KSSTID0069",0,1,1,1,0,23,4107.07625,7.29739372675929,0,1,1,6.491666667125,0,0
"KSSTID0070",0,0,0,1,0,42,3006.81250125,4.28743482563488,0,1,1,3.9041666665,1,1
"KSSTID0071",0,1,1,0,0,47,3276.9375,5.25249308541624,0,1,1,5.06458333325,0,0
"KSSTID0072",0,0,0,0,1,49,6921.2125,8.8370490988439,1,0,0,4.625,1,0
"KSSTID0073",0,0,0,1,1,40,5391.02,8.53337229016757,1,0,0,6.491666667125,0,1
"KSSTID0074",0,1,0,1,0,41,3807.7225,8.14614663956322,1,0,0,4.260416666625,0,1
"KSSTID0075",0,1,1,1,0,40,8253.95625,8.97687067961166,0,0,0,6.491666667125,0,1
"KSSTID0076",0,1,1,1,1,47,2804.344975,7.75245210376187,0,1,1,5.05416666675,0,1
"KSSTID0077",0,1,1,1,1,37,1744.923935,4.92562086620675,0,1,1,5.05416666675,0,1
"KSSTID0078",0,0,0,1,0,38,3109.05875,4.34507678152743,1,1,1,3.15833333325,1,1
"KSSTID0079",0,1,0,1,0,42,533.35125,1.91648578309422,1,1,1,5.05416666675,0,0
"KSSTID0080",0,1,1,1,0,30,5285.4725,8.39022660330941,0,0,0,5.05416666675,1,1
"KSSTID0081",0,1,1,0,1,32,0,0,1,1,1,3.720833333375,0,1
"KSSTID0082",0,0,0,1,0,52,0,0,1,1,1,3.356250000125,1,0
"KSSTID0083",1,1,1,0,1,29,8641.745,9.03949235061235,1,0,0,5.05416666675,0,1
"KSSTID0084",0,0,0,0,1,37,64.88375,0.781745427237531,1,1,1,5.05416666675,0,1
"KSSTID0085",0,0,0,1,0,63,0,0,1,1,1,5.05416666675,1,1
"KSSTID0086",0,0,0,0,1,32,606.7075,3.03195950556682,1,1,1,5.05416666675,0,1
"KSSTID0087",0,0,0,0,1,32,5552.0925,5.50856001571956,1,1,1,5.05416666675,0,1
"KSSTID0088",1,1,0,0,1,30,0,0,1,1,1,2.983333333375,0,1
"KSSTID0089",0,1,1,1,1,49,0,0,1,1,1,2.7927083335,0,0
"KSSTID0090",0,1,1,0,0,28,2931.0575,2.07531074309119,0,1,1,3.8375,1,1
"KSSTID0091",0,0,0,1,1,41,3318.9425,6.07406211136513,1,1,1,4.1625,0,1
"KSSTID0092",0,1,1,1,0,38,6349.5925,6.69975046480825,0,1,1,5.05416666675,0,0
"KSSTID0093",0,1,1,1,0,50,4635.00001,5.56072267946768,0,1,1,4.3680555555,0,1
"KSSTID0094",0,1,0,0,0,37,8181.8275,8.91128867691642,0,0,0,3.0916666665,0,1
"KSSTID0095",0,1,1,1,1,24,8747.79875,9.06511841874551,0,0,0,4.347916666625,0,1
"KSSTID0096",0,0,0,1,0,36,4780.2875,8.46511897573873,0,0,0,3.454166666625,0,0
"KSSTID0097",0,0,0,1,1,42,2790.50375,6.82847737038316,0,1,1,2.783333333375,0,1
"KSSTID0098",0,1,1,0,1,25,6583.92125,7.27985477203722,1,1,1,2.341666666625,0,1
"KSSTID0099",0,0,0,1,0,44,7666.69,8.94040046246016,1,0,0,5.05416666675,0,0
"KSSTID0100",0,0,0,1,0,58,0,0,1,1,1,2.81458333325,1,1
"KSSTID0101",0,1,1,0,1,53,570.625,2.64240015628357,1,1,1,5.05416666675,0,1
"KSSTID0102",0,0,0,1,1,50,7597.445,8.92419339447522,0,0,0,3.720833333375,1,0
"KSSTID0103",0,0,0,1,1,32,3392.34875,4.39869430423582,1,1,1,2.770833333375,1,1
"KSSTID0104",0,1,1,1,1,58,11813.6275,9.320394988934,1,0,0,2.81458333325,0,0
"KSSTID0105",1,0,0,0,1,34,3723.72,7.22277900809098,0,1,1,5.05416666675,0,1
"KSSTID0106",0,0,0,1,0,52,8648.37875,9.05790833141351,1,0,0,5.05416666675,0,0
"KSSTID0107",0,0,0,1,0,27,7368.0025,8.87401936664902,0,0,0,3.683333333125,0,0
"KSSTID0108",0,0,0,0,0,33,1212.79,4.40289803132233,1,1,1,3.720833333375,0,0
"KSSTID0109",0,0,0,0,0,34,8554.89375,8.78370066146214,0,0,0,3.27708333325,1,1
"KSSTID0110",0,1,1,1,0,31,4739.75,8.23560666736749,0,1,1,2.983333333375,0,0
"KSSTID0111",0,0,0,0,0,40,3727.70525,5.26261456049367,0,1,1,5.05416666675,1,1
"KSSTID0112",0,0,0,1,1,41,4431.88875,8.39570340082391,1,0,0,3.529166666625,1,1
"KSSTID0113",0,1,1,0,1,37,1439.7925,3.63833932802323,1,1,1,3.356250000125,1,1
"KSSTID0114",0,1,1,0,0,36,627.808875,1.95713152412187,0,1,1,3.0916666665,1,0
"KSSTID0115",0,1,1,0,0,43,4058.18875,8.18206271146049,1,0,0,5.05416666675,0,0
