"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0001",-8,0,1,0,1,1,38,7976.61,8.98439414683828,,,1,3.644444444,0,1,2017
"KSSTID0001",-7,0,1,0,1,1,38,4965.39,8.51044849701589,8.98439414683828,0,1,2.833333333,0,1,2017
"KSSTID0001",-6,0,1,0,1,1,38,4798.89,8.47634827996673,8.51044849701589,0,1,3.333333333,0,1,2018
"KSSTID0001",-5,0,1,0,1,1,38,8940.29,9.09843515306001,8.47634827996673,0,1,3.2,0,1,2018
"KSSTID0001",-4,0,1,0,1,1,38,9663.57,9.17622190022332,9.09843515306001,0,1,3.3,0,1,2018
"KSSTID0001",-3,0,1,0,1,1,38,11461.83,9.34686490568139,9.17622190022332,0,1,2.822222222,0,1,2018
"KSSTID0001",-2,0,1,0,1,1,38,10556.53,9.26459462838588,9.34686490568139,0,1,3.533333333,0,1,2019
"KSSTID0001",-1,0,1,0,1,1,38,12245.52,9.41299709398139,9.26459462838588,0,1,2.955555556,0,1,2019
"KSSTID0001",0,0,1,0,1,1,38,9180.94,9.12499379026375,9.41299709398139,0,1,3.255555556,0,1,2019
"KSSTID0001",1,0,1,0,1,1,38,10656.47,9.27401633371633,9.12499379026375,0,1,2.566666667,0,1,2019
"KSSTID0001",2,0,1,1,1,1,38,8994.26,9.10445305091409,9.27401633371633,0,1,3.177777778,0,1,2020
"KSSTID0001",3,0,1,1,1,1,38,6189.36,8.73074852230738,9.10445305091409,0,1,7.455555556,0,1,2020
"KSSTID0001",4,0,1,1,1,1,38,10416.13,9.25120684550723,8.73074852230738,0,1,5.533333333,0,1,2020
"KSSTID0001",5,0,1,1,1,1,38,10699.68,9.27806256983256,9.25120684550723,0,1,3.7,0,1,2020
"KSSTID0001",6,0,1,1,1,1,38,10899.15,9.29653182959044,9.27806256983256,0,1,3.511111111,0,1,2021
"KSSTID0001",7,0,1,1,1,1,38,18489.2,9.82499614098032,9.29653182959044,0,1,3.344444444,0,1,2021
"KSSTID0002",-8,0,0,0,1,1,45,15968.89,9.6784603532705,,,1,3,1,1,2017
"KSSTID0002",-7,0,0,0,1,1,45,20195.04,9.91324182456706,9.6784603532705,0,1,2.483333333,1,1,2017
"KSSTID0002",-6,0,0,0,1,1,45,15873.29,9.67245609835128,9.91324182456706,0,1,2.983333333,1,1,2018
